method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,75,0.5395,0.5395,1.128834,0.00
no_memory,76,0.5455,0.5455,1.142354,0.00
no_memory,77,0.5513,0.5513,1.156521,0.00
no_memory,78,0.5570,0.5570,1.174229,0.00
no_memory,79,0.5500,0.5500,1.186196,0.00
no_memory,80,0.5432,0.5432,1.201509,0.00
no_memory,81,0.5488,0.5488,1.218463,0.00
no_memory,82,0.5422,0.5422,1.231524,0.00
no_memory,83,0.5357,0.5357,1.248417,0.00
no_memory,84,0.5412,0.5412,1.260169,0.00
no_memory,85,0.5349,0.5349,1.274739,0.00
no_memory,86,0.5402,0.5402,1.291995,0.00
no_memory,87,0.5455,0.5455,1.305137,0.00
no_memory,88,0.5393,0.5393,1.317316,0.00
no_memory,89,0.5333,0.5333,1.333615,0.00
no_memory,90,0.5275,0.5275,1.349502,0.00
no_memory,91,0.5217,0.5217,1.364793,0.00
no_memory,92,0.5269,0.5269,1.380251,0.00
no_memory,93,0.5319,0.5319,1.392083,0.00
no_memory,94,0.5263,0.5263,1.406767,0.00
no_memory,95,0.5208,0.5208,1.419653,0.00
ours_full,0,1.0000,1.0000,4.555890,4.00
ours_full,1,1.0000,1.0000,4.575958,4.00
ours_full,2,1.0000,1.0000,4.590922,4.00
ours_full,3,1.0000,1.0000,4.612167,4.00
ours_full,4,1.0000,1.0000,4.630797,4.00
ours_full,5,1.0000,1.0000,4.647725,4.00
ours_full,6,1.0000,1.0000,4.662168,4.00
ours_full,7,1.0000,1.0000,4.685445,4.00
ours_full,8,1.0000,1.0000,4.700952,4.00
ours_full,9,1.0000,1.0000,4.720714,4.00
ours_full,10,1.0000,1.0000,4.737672,4.00
ours_full,11,1.0000,1.0000,4.752535,4.00
ours_full,12,1.0000,1.0000,4.773593,4.00
ours_full,13,1.0000,1.0000,4.791562,4.00
ours_full,14,1.0000,1.0000,4.815102,4.00
ours_full,15,1.0000,1.0000,4.830258,4.00
ours_full,16,1.0000,1.0000,4.846541,4.00
ours_full,17,1.0000,1.0000,4.861511,4.00
ours_full,18,1.0000,1.0000,4.882599,4.00
ours_full,19,1.0000,1.0000,4.899189,4.00
ours_full,20,1.0000,1.0000,4.916865,4.00
ours_full,21,1.0000,1.0000,4.936877,4.00
ours_full,22,1.0000,1.0000,4.952654,4.00
ours_full,23,1.0000,1.0000,4.972158,4.00
ours_full,24,1.0000,1.0000,4.989764,4.00
ours_full,25,1.0000,1.0000,5.007690,4.00
ours_full,26,1.0000,1.0000,5.023076,4.00
ours_full,27,1.0000,1.0000,5.040576,4.00
ours_full,28,1.0000,1.0000,5.055194,4.00
ours_full,29,1.0000,1.0000,5.073755,4.00
ours_full,30,1.0000,1.0000,5.093775,4.00
ours_full,31,1.0000,1.0000,5.116451,4.00
ours_full,32,1.0000,1.0000,5.135509,4.00
ours_full,33,1.0000,1.0000,5.153198,4.00
ours_full,34,1.0000,1.0000,5.170670,4.00
ours_full,35,1.0000,1.0000,5.188476,4.00
ours_full,36,1.0000,1.0000,5.210417,4.00
ours_full,37,1.0000,1.0000,5.226800,4.00
ours_full,38,1.0000,1.0000,5.247707,4.00
ours_full,39,1.0000,1.0000,5.266424,4.00
ours_full,40,1.0000,1.0000,5.287510,4.00
ours_full,41,1.0000,1.0000,5.308088,4.00
ours_full,42,1.0000,1.0000,5.323921,4.00
ours_full,43,1.0000,1.0000,5.338584,4.00
ours_full,44,1.0000,1.0000,5.360532,4.00
ours_full,45,1.0000,1.0000,5.377330,4.00
ours_full,46,1.0000,1.0000,5.397156,4.00
ours_full,47,1.0000,1.0000,5.413451,4.00
ours_full,48,1.0000,1.0000,5.431227,4.00
ours_full,49,1.0000,1.0000,5.446015,4.00
ours_full,50,1.0000,1.0000,5.462915,4.00
ours_full,51,1.0000,1.0000,5.478797,4.00
ours_full,52,1.0000,1.0000,5.500501,4.00
ours_full,53,1.0000,1.0000,5.516606,4.00
ours_full,54,1.0000,1.0000,5.536460,4.00
ours_full,55,1.0000,1.0000,5.553205,4.00
ours_full,56,1.0000,1.0000,5.567339,4.00
ours_full,57,1.0000,1.0000,5.585018,4.00
ours_full,58,1.0000,1.0000,5.604559,4.00
ours_full,59,1.0000,1.0000,5.625369,4.00
ours_full,60,1.0000,1.0000,5.647465,4.00
ours_full,61,1.0000,1.0000,5.662773,4.00
ours_full,62,1.0000,1.0000,5.676957,4.00
ours_full,63,1.0000,1.0000,5.691626,4.00
ours_full,64,1.0000,1.0000,5.712166,4.00
ours_full,65,1.0000,1.0000,5.731999,4.00
ours_full,66,1.0000,1.0000,5.748906,4.00
ours_full,67,1.0000,1.0000,5.765930,4.00
ours_full,68,1.0000,1.0000,5.783939,4.00
ours_full,69,1.0000,1.0000,5.802506,4.00
ours_full,70,1.0000,1.0000,5.816899,4.00
ours_full,71,1.0000,1.0000,5.839445,4.00
ours_full,72,1.0000,1.0000,5.854505,4.00
ours_full,73,1.0000,1.0000,5.868650,4.00
ours_full,74,1.0000,1.0000,5.889980,4.00
ours_full,75,1.0000,1.0000,5.907117,4.00
ours_full,76,1.0000,1.0000,5.924218,4.00
ours_full,77,1.0000,1.0000,5.942347,4.00
ours_full,78,1.0000,1.0000,5.962272,4.00
ours_full,79,1.0000,1.0000,5.976968,4.00
ours_full,80,1.0000,1.0000,5.997215,4.00
ours_full,81,1.0000,1.0000,6.016614,4.00
ours_full,82,1.0000,1.0000,6.032913,4.00
ours_full,83,1.0000,1.0000,6.054099,4.00
ours_full,84,1.0000,1.0000,6.069527,4.00
ours_full,85,1.0000,1.0000,6.086184,4.00
ours_full,86,1.0000,1.0000,6.105617,4.00
ours_full,87,1.0000,1.0000,6.120190,4.00
ours_full,88,1.0000,1.0000,6.136477,4.00
ours_full,89,1.0000,1.0000,6.156085,4.00
ours_full,90,1.0000,1.0000,6.175929,4.00
ours_full,91,1.0000,1.0000,6.192889,4.00
ours_full,92,1.0000,1.0000,6.210769,4.00
ours_full,93,1.0000,1.0000,6.225260,4.00
ours_full,94,1.0000,1.0000,6.242680,4.00
ours_full,95,1.0000,1.0000,6.258130,4.00
